irradiance,ambient temp,wind speed,relative humidity,pressure
0,13.28,8,86.8,994.08
0,13.02,8.4,87,994.1
0,12.96,9,87.6,994.14
0,13.06,9,87.6,994.1
0,13.1,9.4,87.2,994.1
0,13.02,9.8,87.4,994.16
0,12.9,9.4,88,994.14
0,12.84,9.2,88.6,994.1
0,12.8,9.4,88.6,994.14
0,12.84,10.6,88,994.2
0,12.64,10.6,88.8,994.2
0,12.66,10.6,88.4,994.22
0,12.66,11.4,88.6,994.3
0,12.64,12.2,88.4,994.4
0,12.6,11.8,87.8,994.34
0,12.5,9.2,89.2,994.22
0,12.44,9,89.6,994.2
0,12.44,8,89,994.2
0,12.12,10.2,89.2,994.26
0,11.82,11,90.2,994.3
0,11.54,11.8,91,994.24
0,11.5,11,90.8,994.3
0,11.48,11,91.4,994.3
0,11.34,12.6,91.4,994.3
0,11.26,11,91.4,994.3
0,11.24,12.2,91,994.3
0,11.24,13,91.6,994.3
0,11.32,11,90.8,994.24
0,11.38,11,90.8,994.12
0,11.38,11,91,994.1
0,11.26,12.6,91,994.1
0,11.2,11.8,91,994.18
0,11.26,12.2,90.6,994.24
0,11.28,11,90.4,994.24
0,11.2,11,90.8,994.22
0,11.2,11.4,91,994.3
0,11.16,11.4,91,994.3
0,11.2,11,91,994.3
0,11.16,11,91.2,994.3
0,11.06,11,91.4,994.3
0,10.94,11,91.8,994.2
0,10.92,11.4,92,994.3
0,11.12,12.6,92.4,994.3
0,11.48,13,93.4,994.32
0,11.7,11.8,91,994.22
0,11.64,11.4,91.4,994.2
0,11.7,12.6,91,994.14
0,11.8,11,90,994.1
0,11.8,11,90,994.1
0,11.8,11.4,90,994
0,11.8,11.8,90,994
0,11.78,11.4,90.2,994
0,11.74,9.4,89.8,994
0,11.76,9.4,89.4,994
0,11.68,10.2,89.8,993.92
0,11.5,11,89.8,993.78
0,11.52,11.8,89.6,993.72
0,11.58,11,89.2,993.7
0,11.52,13,89.2,993.76
0,11.54,13,90.2,993.8
0,11.76,11.4,90,993.88
0,11.98,11,89.6,993.9
0,12.18,11,89.4,993.9
0,12.28,11.4,88.2,993.8
0,12.32,10.2,88.4,993.8
0,12.36,11.8,88,993.8
0,12.42,12.2,87.8,993.84
0,12.52,11.8,86.8,993.9
0,12.58,11.8,86.2,994
0,12.6,11,87,994
0,12.6,11.8,87,994
0,12.6,9.4,87.2,994
0,12.6,8.2,87.2,994
0,12.68,9.4,87,994.08
0,12.7,9.4,87,994.1
0,12.7,9,87.2,994.1
0,12.76,11,87.4,994.16
0,12.8,11,87,994.32
0,12.82,11,87,994.4
0,12.84,10.6,86.4,994.48
0,12.9,11,86.8,994.56
0,12.9,11,87.2,994.6
0,12.86,9,88.4,994.6
0,12.92,11,87.4,994.7
0.224,13,11.8,86,994.78
1.732,13,11.4,85.2,994.84
1.46,13,11.4,85.8,994.9
1.794,13,11.8,86,995
2.51,13.1,13.4,85,995.12
3.492,13.1,12.2,84.6,995.2
4.216,13.16,12.2,84.2,995.3
5.348,13.2,11,84,995.38
7.9,13.2,10.2,84,995.4
11.65,13.2,8.6,84.2,995.42
16.044,13.22,8.4,84.8,995.5
20.898,13.3,8.6,85,995.5
24.146,13.34,10,85,995.56
27.512,13.4,11.8,84,995.6
25.698,13.4,11,84,995.66
33.878,13.44,10.6,83.4,995.74
39.488,13.5,11,83.2,995.88
38.482,13.54,11.8,83.2,996.04
45.894,13.62,12.2,82.8,996.18
50.248,13.7,13.8,82.4,996.3
54.41,13.78,13,82,996.34
58.22,13.84,12.2,81,996.46
71.092,13.96,15.4,79.6,996.6
71.712,14.02,16.6,77.8,996.7
80.574,14.1,17,76.4,996.76
75.8,14.1,16.8,76,996.8
87.012,14.16,18.8,72.2,996.9
110.81,14.3,14.2,71,996.9
117.88,14.44,12.2,70.6,996.9
132.76,14.52,13,70.6,996.9
145.41,14.6,13.4,69.6,996.98
175.34,14.76,12.6,69.4,997
210.58,14.76,15.6,68,997
205.07,14.84,15,68.2,997
192.25,14.78,12.2,66.6,997
202.54,14.84,14.2,65.8,997.04
246.46,14.96,12.6,65,997.1
382.54,15.4,13,63,997.2
332.91,15.24,11.4,62.4,997.24
355.18,15.42,14.2,62.2,997.3
488.49,15.78,17.2,62.4,997.38
448.75,15.92,16.2,62,997.4
719.94,16.18,15.6,60.2,997.4
811.57,16.48,15.6,58.8,997.4
641.51,16.52,17.2,55.2,997.46
676.31,16.54,15.8,55.6,997.44
644.01,16.94,16.6,54.4,997.5
772.96,16.76,19.2,53,997.56
780.93,16.72,13.4,54.4,997.66
575.54,17.18,20.4,53.6,997.76
865.22,17.12,20.2,52.8,997.8
854.42,17.44,17.6,51.8,997.84
860.7,17.28,20.2,50.6,997.9
829.61,17.12,16,52,997.9
831.14,17.6,11.6,51.4,997.9
860.16,17.84,17,51.2,997.9
896.8,17.96,13.8,51.4,997.9
811.08,18.34,15.2,49.2,997.92
579.87,17.96,17,49,997.94
717.17,18.2,14.6,47.8,998
741.55,17.8,13,49.8,998
966.19,18.32,13.8,49,998
957.47,18.6,15.4,46.6,998.04
1016.3,18.92,14.8,47,998.1
894.42,18.8,14.6,46.6,998.1
853.38,18.9,16.6,46.4,998.1
1064.8,19.06,15.8,45.6,998.1
729.09,18.98,10.8,46,998.14
417.36,18.6,13,46.4,998.2
825.89,18.82,13,45,998.2
618.11,18.86,9.2,46.4,998.2
1219.4,19.54,11.8,44.8,998.2
1145.4,20.02,15.8,41.4,998.14
615.96,19.72,15,42,998.08
468.74,19.16,16.2,44.4,998.08
1020.4,20.04,16.8,43.2,998.02
1181.4,20.58,15.2,41.2,998
1083.4,21.24,15.4,40.8,997.96
1006.9,20.36,17.3,42,998
1020.4,20.7,14.2,42.4,997.94
438.75,20.1,11.8,43.2,998
389.79,20.12,18.6,42,998
830.87,20.28,16.6,43.8,998
788.74,21.14,21.2,42.6,998
683.07,20.36,18.8,43.4,998.04
661.97,20.48,18.8,43.8,998.1
1137.1,20.48,14.4,44.4,998.1
538.6,20.3,13.8,43.8,998.1
480.86,20.32,15.8,44,998.18
969.65,21,16.4,44,998.2
800.38,21.2,19.6,42.8,998.18
569.15,20.52,24.8,45.8,998.26
1183.5,21.26,23.2,45.2,998.3
1193.5,21.78,21,44.2,998.22
833.14,21.2,20,45,998.3
1203.1,21,22.4,45.4,998.3
778.9,20.72,14.8,46.8,998.28
1196.8,21.22,18.8,46.6,998.24
937.29,21.3,15.4,46.2,998.2
432.96,20.44,20,47.6,998.2
516.03,20.2,16.8,48.6,998.24
898.97,20.84,16.6,47.4,998.24
847.8,21.26,14.2,46.6,998.2
1043.1,20.98,13,47,998.18
1177.7,21.76,14.8,47.2,998.12
1141.6,21.64,29.6,48,998.2
1103.8,21.12,27.2,48.2,998.12
1173.2,20.9,24.8,48,998.2
781.55,20.52,17.8,49,998.2
674.08,20.32,18.2,49,998.2
921.61,20.44,11.8,48.2,998.2
1123.7,20.96,15.2,45.6,998.22
730.11,20.22,26.4,49.2,998.3
774.39,19.58,30.6,50.8,998.34
453.62,19.08,29,53,998.36
469.89,19,28.8,54.2,998.4
924.55,19.8,30.4,55.2,998.4
946.56,19.42,29.8,56.2,998.5
961.81,19.56,30.4,58.2,998.58
920.61,19.66,31,57.4,998.7
891.45,19.22,29.6,57.4,998.7
888.28,19.4,27.2,57.2,998.7
870.86,19.32,28.6,57.4,998.74
859.17,19.42,28,56.6,998.7
845.45,19.3,26.4,56.2,998.7
830.74,19.3,28.2,56.6,998.72
819.31,19.18,28,55.8,998.8
802.01,18.98,26.8,56.2,998.8
788.28,19.36,29.8,55.8,998.8
774.68,19.24,29,55.4,998.8
761.61,19.2,28,55.2,998.9
745.76,18.86,28.8,55.4,999
729.45,19.06,25.6,55.6,998.98
712.55,18.82,28.4,55.6,998.94
697.54,18.84,25.8,54.8,999
681.34,18.94,26,53.8,999
663.53,18.9,25.6,54,999
645.48,18.56,26.4,54.2,999.06
630.13,18.58,25.2,54.6,999.02
614.12,18.84,26.4,54,999.08
598.54,18.76,24.8,54.4,999.08
581.01,18.64,23.8,54,999.06
565.91,18.8,24.8,53,999.08
546.98,18.52,23.2,53.2,999.1
528.34,18.38,25.6,53.2,999.1
509.91,18.12,28.2,53.2,999.1
493.64,18.22,24.4,53,999.12
475.54,18.26,23.6,53,999.22
457.87,17.92,24,53.8,999.36
439.25,18,24.4,53.2,999.4
421.37,17.94,24.4,53.8,999.4
402.37,17.76,23.4,54.8,999.4
384.81,17.82,26.4,54.6,999.5
364.64,18.02,25.6,55.2,999.6
346.64,17.86,25.2,54.8,999.62
328.01,17.38,21.6,56,999.7
309.73,17.1,23,56.6,999.7
292.12,17,22.8,56.8,999.72
273.31,17.2,20.6,56,999.8
255.43,16.86,19.6,57,999.88
238.14,16.74,22.2,56.6,999.94
221.83,16.6,20.8,56.8,999.92
204.6,16.36,24.4,58,1000
186.72,16.34,21.4,58.2,1000.1
170.18,16.16,23.2,57.6,1000.1
152.83,16.1,21.2,58.4,1000.2
136.75,15.92,21,58.8,1000.4
120.49,15.86,17.6,59.6,1000.5
105.09,15.68,22.2,59.4,1000.6
89.204,15.48,19.2,60,1000.6
75.41,15.32,21.4,59.8,1000.6
62.226,15.2,20.6,60.6,1000.6
49.556,15.02,21.4,61.2,1000.7
38.376,14.82,18.2,60.8,1000.8
28.58,14.68,18,61,1000.9
20.214,14.44,17,61.6,1001
13.87,14.34,17.2,61.6,1001.1
9.392,14.16,17.2,63.2,1001.2
6.17,14,16.8,63.2,1001.2
4.31,13.9,18.4,64,1001.3
2.746,13.76,18,64.6,1001.4
1.33,13.62,18,65.2,1001.5
0,13.54,16.6,65.6,1001.5
0,13.5,15,65.4,1001.6
0,13.36,13.4,67,1001.7
0,13.32,14.2,67,1001.8
0,13.44,16.4,65.6,1001.8
0,13.5,17.2,65.2,1001.9
0,13.12,15,68.6,1001.9
0,13.08,13.8,69.2,1001.9
0,13.14,15.4,68.4,1002
0,13.12,13,68,1002
0,13.2,14.6,67,1002
0,13,13.8,68.4,1002.1
0,12.88,15,69.2,1002.1
0,12.94,13.8,68.6,1002.2
0,12.96,12.6,68.6,1002.2
0,12.72,13.4,70.2,1002.2
0,12.7,13,70,1002.2
0,12.6,13,70.4,1002.2
0,12.58,12.2,70.2,1002.2
0,12.44,13,71.2,1002.2
0,12.48,13.4,70.2,1002.2
0,12.42,13.8,70.8,1002.2
0,12.46,12.2,70.4,1002.3
0,12.44,11.4,70.4,1002.4
0,12.32,10.6,71.2,1002.5
0,12.18,10.2,72.2,1002.5
0,11.98,9.8,73.2,1002.5
0,11.72,10.6,74.4,1002.4
0,11.82,11,72.4,1002.4
0,11.84,14.6,70.4,1002.5
0,11.92,15.8,68.8,1002.4
0,11.52,12.6,72.4,1002.4
0,11.28,10.6,74.2,1002.4
0,11.24,13.8,73.2,1002.3
0,11.6,13,70.6,1002.3
0,11.86,10.6,68.6,1002.4
0,11.68,9,70.2,1002.5
0,11.26,6.8,73,1002.5
0,11.02,6.8,73.8,1002.5
0,10.98,8.2,74.2,1002.4
0,10.84,7.4,75,1002.4
0,10.8,6.2,74.8,1002.4
0,10.86,6.2,73.6,1002.3
0,11.06,3.4,72,1002.4
0,10.72,6.8,74.4,1002.3
0,10.66,8,74.4,1002.3
0,10.66,5.6,74.2,1002.3
0,10.34,8.4,76,1002.3
0,9.8,8.4,79,1002.4
0,9.8,8,78.8,1002.3
0,9.52,6.8,79.8,1002.2
0,9.76,4.6,77.2,1002.2
0,10.12,5,75.6,1002.1
0,10.16,5.6,76,1002.1
0,9.92,8.2,77.6,1002.1
0,9.54,9,79.2,1002.1
0,9.66,8.8,78,1002
0,9.78,8.8,76.6,1002
0,9.62,8.8,76.4,1002
0,9.44,8.8,78.4,1001.9
0,9.3,9,78.8,1001.7
0,9.36,9,78,1001.8
0,9.26,8.2,77.8,1001.7
0,9.3,4,78.6,1001.6
0,8.82,0,81.2,1001.6
0,8.54,3.4,82.2,1001.5
0,8.18,5.6,84.6,1001.5
0,8.06,8.2,85.4,1001.5
0,8.02,7.4,86,1001.5
0,8.08,4.8,85.4,1001.4
0,8.4,6.8,82.6,1001.3
0,8.7,8,80.2,1001.2
0,8.92,8,79.6,1001.2
0,8.8,6.2,79.6,1001.1
0,8.4,4.8,82.2,1001.1
0,8.02,8,84.6,1001.1
0,7.42,5,87.8,1001.1
0,7.32,3.6,88,1001.1
0,7.42,4.8,87.2,1001
0,7.64,6,85.6,1000.9
0,7.42,7.4,87,1001
0,7.44,7,86.8,1001
0,7.26,6.8,87.4,1001.1
0,7.28,5,87.4,1001.1
0,7.06,8.2,88.4,1001.1
0,7.16,9.6,88,1001.1
0,6.98,9.8,89.6,1001.1
0,7,8,89.2,1001
0,7.16,8,87.8,1000.9
0,7.22,10.2,87.8,1000.9
0,7.18,12.2,88.8,1000.9
0,7.3,11.4,88,1000.8
0,7.36,7.2,87.6,1000.8
0,7.48,8,87.2,1000.8
0,7.26,6.2,87.8,1000.8
0,7.04,8.6,89.2,1000.8
0,7.18,8.4,88,1000.7
0,7.06,3,88.8,1000.8
0,7.22,0,87.4,1000.7
0,7.48,0,86.4,1000.7
0,7,0,88.8,1000.7
0,7.1,0,88,1000.7
0,7.24,2.6,87.4,1000.9
0,6.94,8.2,88.8,1000.9
0,6.64,8.2,90.4,1000.9
0,6.8,5.4,90,1000.9
0.514,6.66,6.6,90.8,1001
2.114,6.76,4.8,90,1001.1
3.372,6.84,5.6,89.6,1001.1
3.786,6.72,2.4,91,1001.1
6.398,7.08,2.4,87.8,1001.1
11.394,6.9,0.8,87.8,1001.2
18.102,7.04,0,87.6,1001.2
21.972,7.12,4.2,88.6,1001.3
22.812,6.86,6.8,90.6,1001.4
47.932,7.12,8,88.2,1001.4
61.378,7.36,6.2,88,1001.5
62.648,8.08,8,85.4,1001.5
88.29,8.56,8,82.8,1001.5
105.07,9.16,8,82.4,1001.6
113.96,9.18,5.6,85.4,1001.7
135.86,9.18,8,83.4,1001.7
153.03,9.74,5.6,81.6,1001.7
171.51,9.96,3.8,80.6,1001.7
188.87,10.2,0,80.6,1001.8
207.41,10.58,3.4,79.4,1001.8
226.65,10.86,6.8,77.2,1001.8
246.21,10.96,8.4,76.2,1001.8
263.66,11,8.8,76.4,1001.9
276.61,11.06,9.4,76.4,1001.9
260.9,11.22,8.6,75.8,1001.9
305.76,11.5,8.6,76.8,1002
316.08,11.78,8.6,75.8,1002.1
313.32,11.9,9,75.2,1002.3
334.56,12.18,8.2,71.8,1002.3
371.43,12.46,8,71,1002.3
361.8,12.58,7.4,71,1002.3
426.37,13.04,2.2,69.8,1002.3
397.05,13.36,0,68,1002.3
430.71,13.18,0,67.8,1002.3
378.46,13.36,5.4,67.2,1002.3
347.61,13.42,4,67,1002.3
340.26,13.32,11,66.4,1002.3
501.66,13.72,10.6,64.8,1002.3
566.84,14.1,9.4,64,1002.3
513.36,14.2,12.2,62.4,1002.3
529.68,14.16,10.6,62.6,1002.3
602.39,14.68,12.6,60.2,1002.3
632.63,14.4,10.4,61,1002.3
643.14,14.84,10.2,59.2,1002.3
609.11,14.72,10.2,59.4,1002.3
661.25,15.06,13.4,55.8,1002.3
691.58,15.24,11.8,54.8,1002.3
711.61,15.46,11,55.8,1002.3
725.41,15.64,12.6,53.2,1002.3
737.68,15.36,13,54.2,1002.3
752.34,15.66,11.8,54.8,1002.2
768.7,15.94,14.6,50.8,1002.2
782.93,16.2,11.2,52.2,1002.2
796.17,15.92,7.6,53.2,1002.1
810.31,16.28,9.6,51,1002.2
824.35,16.42,7.4,52.2,1002.2
838.19,16.58,9.6,51.6,1002.2
847,16.84,7.8,52.6,1002.2
859.31,16.88,4.2,51.4,1002.1
875.41,17.08,7.2,48.8,1002.1
888.58,17.34,12.8,48.2,1002
904.54,17.3,6.2,47.6,1002
916.88,17.52,8.8,46.2,1002
930.9,17.26,7,44.6,1002.1
940.41,17.46,8,47,1002
952.45,17.78,10.4,46.8,1002.1
959.44,17.92,6.6,45.6,1002.1
972.37,17.56,9.6,45.4,1002.1
980.41,17.92,8.6,46,1002
987.88,18.52,7.2,45.2,1002
999.97,18.74,9.8,42.6,1001.9
1015.1,18.6,10.6,42.4,1002
1022.7,18.48,11,40.2,1002
1029.3,18.44,7.2,40.2,1001.9
1033.6,18.52,7.8,41,1001.9
1034.4,19.18,6.8,41.2,1001.8
1039.9,19.38,11.2,39.2,1001.7
1052,19.66,12.2,40,1001.7
1063.5,19.42,10.6,36.2,1001.7
1063.3,19.64,7.6,38.6,1001.7
1064.8,19.48,10,39.2,1001.7
1071.6,19.46,11.4,38.6,1001.7
1076.2,19.52,11.8,36.8,1001.6
1078.8,20.06,11.2,38.4,1001.6
1078.1,20,8.4,36,1001.5
1079.7,20.34,11,37.6,1001.4
1093.9,20.52,11.4,37.4,1001.3
1079.8,20.34,13.6,37,1001.3
1107.8,20.98,11,37.6,1001.1
1106.5,20.38,9.2,37.6,1001
1039.6,20.58,10.4,36,1001
1081.2,20.78,14.2,35.8,1000.9
1049.5,20.68,11.4,37.8,1000.9
1036.3,21.22,14.6,36.2,1000.8
1087.6,20.64,12.6,34.2,1000.7
1096.4,21.18,14.6,34.4,1000.8
1083.7,21.2,13.8,33.6,1000.8
1073.1,21.22,11,32.8,1000.7
1026.4,21.72,14.2,34,1000.6
1039.9,21.86,13,33,1000.6
1055.5,21.32,12.2,34.2,1000.6
880.76,21.68,14.2,33.4,1000.6
724.86,21.34,12.6,33.6,1000.6
477.85,21.04,15,33.6,1000.5
888.02,21.28,10.8,32.6,1000.5
764.58,21.48,12.4,31.8,1000.4
960.82,21.8,11.8,32.6,1000.4
955.19,21.82,14.8,31.4,1000.4
906.54,22.02,13.4,31.2,1000.3
823.99,21.8,14.2,32.4,1000.3
941.9,22.02,12.2,32.4,1000.3
972.92,22.02,14.2,33.4,1000.2
994.29,22.26,13.4,33,1000.2
989.43,22.42,15,33.4,1000.2
946.19,22.04,18.8,33.6,1000.2
974.16,22.8,20.8,33.4,1000.1
865.51,22.62,20,35,1000.1
892.57,22.36,14.4,34.4,1000.1
